"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\bohda\OneDrive\Документи\finja\finja\components\CurrencyInput.tsx", "TypeScript JSX", 194, 0, 11, 205
"Total", "-", 194, 0, 11, 205
